Ticker,Name,Country
QQQ,"Invesco QQQ Trust, Series 1",United States
XIU.TO,iSHARES SP TSX 60 INDEX ETF,Canada
EWW,iShares Inc iShares MSCI Mexico,Mexico
EWZ,iShares Inc iShares MSCI Brazil,Brazil
000001.SS,SSE Composite Index,China
^HSI,HANG SENG INDEX,Hong Kong
ES3.SI,STI ETF,Singapore
^N225,Nikkei 225,Japan
^KS11,KOSPI Composite Index,Korea
^BSESN,S&P BSE SENSEX,India
STW.AX,SPDR 200 ETF UNITS [STW],Australia
^FCHI,CAC 40,France
^GDAXI,DAX                           P,Germany
IMIB.MI,ISHARES FTSE MIB UCITS ETF EUR ,Italy
^TA125.TA,TA-125,Israel
